adm1_name;adm1_pcode;adm2_name;adm2_pcode;adm3_name;adm3_pcode;PCODE;date_recorded;data_source;Data_quality_score;people_dead;people_injured;house_destroyed;house_damaged;household_displaced
Wajir;KE008;Tarbaj;KE008035;Wargadud;KE0080350175;KE0080350175;06-05-2018;eoc;5;0;50;27;0;6500
Mandera;KE009;Mandera South;KE009042;Wargadud;KE0090420206;KE0090420206;06-05-2018;eoc;5;0;50;27;0;6500
Wajir;KE008;Tarbaj;KE008035;Wargadud;KE0080350175;KE0080350175;06-05-2018;eoc;5;0;50;27;0;6500
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Eldas;KE008037;Basir Elnur;KE0080370183;KE0080370183;28-10-2006;disinventer;5;0;0;0;0;0
Kilifi;KE003;Magarini;KE003017;Magarini Ward;KE0030170081;KE0030170081;06-01-2010;disinventer;6;0;0;0;0;0
Kilifi;KE003;Magarini;KE003017;Magarini Ward;KE0030170081;KE0030170081;06-01-2010;disinventer;6;0;0;0;0;0
Laikipia;KE031;Laikipa West;KE031163;Rumuruti;KE0311630812;KE0311630812;04-01-2010;disinventer;5;1;0;0;0;0
Nakuru;KE032;Naivasha;KE032168;Maai Mahiu;KE0321680839;KE0321680839;13-03-2018;eoc;0;0;2;0;0;0
Nakuru;KE032;Naivasha;KE032168;Maai Mahiu;KE0321680839;KE0321680839;13-03-2018;eoc;0;0;2;0;0;0
Kisumu;KE042;Nyando;KE042242;East Kano;KE0422421206;KE0422421206;15-01-2013;dref;1;0;0;0;0;0
Wajir;KE008;Wajir North;KE008033;Korondille;KE0080330163;KE0080330163;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Wajir North;KE008033;Korondille;KE0080330163;KE0080330163;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Wajir West;KE008036;Hadado;KE0080360177;KE0080360177;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Wajir West;KE008036;Hadado;KE0080360177;KE0080360177;25-11-2008;dref;5;0;0;0;0;0
Wajir;KE008;Wajir North;KE008033;Korondille;KE0080330163;KE0080330163;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Wajir North;KE008033;Korondille;KE0080330163;KE0080330163;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Wajir West;KE008036;Hadado;KE0080360177;KE0080360177;28-10-2006;disinventer;5;0;0;0;0;0
Wajir;KE008;Wajir West;KE008036;Hadado;KE0080360177;KE0080360177;28-10-2006;disinventer;5;0;0;0;0;0
Bungoma;KE039;Kabuchai;KE039218;Kabuchai;KE0392181085;KE0392181085;14-05-2018;eoc;5;0;1;0;0;0
Kiambu;KE022;Kikuyu;KE022120;Kikuyu;KE0221200599;KE0221200599;12-11-2015;disinventer;5;0;0;0;0;0
Meru;KE012;Igembe South;KE012051;Maua;KE0120510251;KE0120510251;14-05-2010;dref;1;2;0;0;0;0
Meru;KE012;Igembe South;KE012051;Maua;KE0120510251;KE0120510251;14-11-2015;eoc;1;0;0;0;0;0
Meru;KE012;Igembe South;KE012051;Maua;KE0120510251;KE0120510251;14-05-2010;dref;1;2;0;0;0;0
Meru;KE012;Igembe South;KE012051;Maua;KE0120510251;KE0120510251;14-11-2015;eoc;1;0;0;0;0;0
Marsabit;KE010;Laisamis;KE010048;Kargi;KE0100480237;KE0100480237;19-04-2017;eoc;5;0;0;0;45;0
Marsabit;KE010;Laisamis;KE010048;Kargi;KE0100480237;KE0100480237;09-03-2019;eoc;5;0;43;0;0;0
Nairobi;KE047;Kasarani;KE047280;Ruai;KE0472801400;KE0472801400;05-05-2012;eoc;5;0;0;0;0;0
Nairobi;KE047;Kasarani;KE047280;Ruai;KE0472801400;KE0472801400;25-03-2014;eoc;5;2;0;0;0;0
Nairobi;KE047;Kasarani;KE047280;Ruai;KE0472801400;KE0472801400;18-11-2015;eoc;5;0;0;0;0;60
Nairobi;KE047;Kasarani;KE047280;Ruai;KE0472801400;KE0472801400;05-05-2012;eoc;5;0;0;0;0;0
Nairobi;KE047;Kasarani;KE047280;Ruai;KE0472801400;KE0472801400;25-03-2014;eoc;5;2;0;0;0;0
Nairobi;KE047;Kasarani;KE047280;Ruai;KE0472801400;KE0472801400;18-11-2015;eoc;5;0;0;0;0;60
Kisumu;KE042;Muhoroni;KE042243;Ombeyi;KE0422431212;KE0422431212;15-01-2013;dref;5;0;0;0;0;62
Kisumu;KE042;Muhoroni;KE042243;Ombeyi;KE0422431212;KE0422431212;07-05-2013;eoc;5;0;0;0;0;0
