Region;Zone;Wereda;pcode;Date;seasone;seson_year;directely affected;Indirectly Affected;Affected;Deaths;Injured;Crop Damages;Lost Cattle ;Relocated ;Houses Destroyed 
 SNNPR; Hadiya;Shashogo;070204;24/07/2012;Kiremt;Kiremt_2012;;1272,00;1272; ; ;2189;0; ; 
 Oromiya; Arsi;Tena;040813;31/01/2010;Belge;Belge_2010;;4150,00;4150; ; ;;16; ; 
 Oromiya; East Shewa;Fentale;040701;24/08/2010;Kiremt;Kiremt_2010;;9000,00;9000; ; ; ;0;900; 
 Oromiya; Adama Spe. Zone;Shashemene Zuria;041712;24/08/2010;Kiremt;Kiremt_2010;;5000,00;5000; ; ; ;0; ; 
 Oromiya; West Shewa;Tikur Enchini;040509;24/08/2010;Kiremt;Kiremt_2010;; ;;1; ;;26; ; 
 Oromiya; Arsi;Gololcha Arsi;040803;18/08/2010;Kiremt;Kiremt_2010;;8000,00;8000; ; ;;5; ; 
 SNNPR; Sidama;Aleta Wendo;070405;01/01/2010;Belge;Belge_2010;;1844,00;1844; ; ;;4; ; 
 Oromiya; Borena;Miyo;041216;01/04/2010;Belge;Belge_2010;;350,00;350; ; ;101;0; ; 
 Oromiya; Borena;Miyo;041216;01/04/2010;Belge;Belge_2010;;1200,00;1200; ; ; ;0; ; 
 Oromiya; Borena;Moyale;041210;01/04/2010;Belge;Belge_2010;;9700,00;9700; ; ;324;0;1937; 
 Oromiya; Borena;Yabelo;041207;01/03/2010;Belge;Belge_2010;;9200,00;9200; ; ;2644;54;2213; 
 Oromiya; Borena;Abaya;041213;01/05/2010;Belge;Belge_2010;;4600,00;4600; ; ;678;0; ; 
 Oromiya; East Welega;Jimma Arjo;040214;01/08/2010;Kiremt;Kiremt_2010;; ;;2;;66;35; ; 
 Oromiya; Jima;Limu Kosa;040402;01/07/2010;Kiremt;Kiremt_2010;; ;; ; ;119;0; ; 
 Amhara; West Gojam;Yilmana Densa;030703;01/08/2010;Kiremt;Kiremt_2010;;16,00;16; ; ; ;0; ; 
 SNNPR; Yem Sp. Wer.;Yem SP woreda;071201;01/08/2004;Kiremt;Kiremt_2004;; ;;2; ; ;0; ; 
 SNNPR; South Omo;Hamer;070704;01/08/2010;Kiremt;Kiremt_2010;;6250,00;6250; ; ; ;0; ; 
 SNNPR; South Omo;Dasenech (Kuraz);070706;01/08/2010;Kiremt;Kiremt_2010;;5000,00;5000; ; ; ;0; ; 
 SNNPR; Gamugofa;Dita;071008;01/08/2010;Kiremt;Kiremt_2010;; ;; ; ;21;3; ; 
 Gambella; Agnuak;Itang;120207;01/08/2010;Kiremt;Kiremt_2010;;15000,00;15000; ; ; ;0; ; 
 Gambella; Nuer;Wantawo;120104;01/08/2010;Kiremt;Kiremt_2010;;3750,00;3750; ; ; ;0; ; 
Amhara;North Wello;Mersa Town;030397;22/08/2010;Kiremt;Kiremt_2010;;;0;;;;;;
 Gambella; Nuer;Akobo;120101;01/08/2010;Kiremt;Kiremt_2010;;2500,00;2500; ; ; ;0; ; 
 Gambella; Nuer;Jikawo;120103;01/08/2010;Kiremt;Kiremt_2010;;6250,00;6250; ; ; ;0; ; 
 Gambella; Nuer;Lare;120102;01/08/2010;Kiremt;Kiremt_2010;;5000,00;5000; ; ; ;0; ; 
 Amhara; Oromiya Zone;Kemisie Town;031006;01/08/2010;Kiremt;Kiremt_2010;;1139,00;1139; ; ; ;0; ; 
 Amhara; North Shewa;Menz Mama Midir;030509;01/08/2010;Kiremt;Kiremt_2010;;8,00;8; ; ; ;0;8; 
 Amhara; South Welo;Were ilu;030415;01/08/2010;Kiremt;Kiremt_2010;;8444,00;8444; ; ;55;0; ; 
 Tigray; East Tigray;Wukro Town;010309;01/08/2010;Kiremt;Kiremt_2010;;557,00;557; ; ; ;0; ; 
