Region;Zone;Wereda;pcode;Date;directely affected;Indirectly Affected;Affected;Deaths;Injured;Crop Damages;Lost Cattle ;Relocated ;Houses Destroyed 
SNNPR;Hadiya;Shashogo;70204;24/07/2012;;1272;1272;;;2189;0;;
OROMIA;Arsi;Tena;40813;31/01/2010;;4150;4150;;;;16;;
OROMIA;East Shewa;Fentale;40701;24/08/2010;;9000;9000;;;;0;900;
OROMIA;West Arsi;Shashemene Zuria;41712;24/08/2010;;5000;5000;;;;0;;
OROMIA;West Shewa;Tikur Enchini;40509;24/08/2010;;;;1;;;26;;
OROMIA;Arsi;Golocha;40803;18/08/2010;;8000;8000;;;;5;;
SNNPR;Sidama;Aleta Wendo;70405;01/01/2010;;1844;1844;;;;4;;
OROMIA;Borena;Miyo;41216;01/04/2010;;350;350;;;101;0;;
OROMIA;Borena;Miyo;41216;01/04/2010;;1200;1200;;;;0;;
OROMIA;Borena;Moyale (Oromia);41210;01/04/2010;;9700;9700;;;324;0;1937;
OROMIA;Borena;Yabelo;41207;01/03/2010;;9200;9200;;;2644;54;2213;
OROMIA;West Guji;Abaya;41213;01/05/2010;;4600;4600;;;678;0;;
OROMIA;East Welega;Jimma Arjo;40214;01/08/2010;;;;2;;66;35;;
OROMIA;Jima;Limu Kosa;40402;01/07/2010;;;;;;119;0;;
Amhara;West Gojam;Yilmana Densa;30703;01/08/2010;;16;16;;;;0;;
SNNPR;Yem Sp. Wer.;Yem SP woreda;71201;01/08/2004;;;;2;;;0;;
SNNPR;South Omo;Hamer;70704;01/08/2010;;6250;6250;;;;0;;
SNNPR;South Omo;Dasenech (Kuraz);70706;01/08/2010;;5000;5000;;;;0;;
SNNPR;Gamugofa;Dita;71008;01/08/2010;;;;;;21;3;;
Gambella;Agnewak;Itang;120207;01/08/2010;;15000;15000;;;;0;;
Gambella;Nuwer;Wantawo;120104;01/08/2010;;3750;3750;;;;0;;
Amhara;North Wello;Mersa Town;30397;22/08/2010;;;0;;;;;;
Gambella;Nuwer;Akobo;120101;01/08/2010;;2500;2500;;;;0;;
Gambella;Nuwer;Jikawo;120103;01/08/2010;;6250;6250;;;;0;;
Gambella;Nuwer;Lare;120102;01/08/2010;;5000;5000;;;;0;;
Amhara;Oromia;Kemisie Town;31006;01/08/2010;;1139;1139;;;;0;;
Amhara;North Shewa;Menze Mama Midir;30509;01/08/2010;;8;8;;;;0;8;
Amhara;South Wello;Were ilu;30415;01/08/2010;;8444;8444;;;55;0;;
Tigray;Eastern Tigray;Wukro Town;10309;01/08/2010;;557;557;;;;0;;
Amhara;Wag Himra;Sekota;30802;01/08/2010;;;;;;21;0;;
Amhara;Wag Himra;Zequala;30801;01/08/2010;;505;505;;;87;460;;
Amhara;Central Gondar;West Belesa;30116;01/08/2010;;505;505;;;;0;505;110
Tigray;Central Tigray;Werei Leke;10203;01/08/2006;;;;;;491;12;;24
Amhara;South Wello;Worebabu;40111;01/08/2010;;10183;10183;;;229;27;;
Amhara;West Gojam;Bure Town;30710;01/08/2010;;1960;1960;;;521;0;;
Tigray;North Western Tigray;Welkait;10502;01/07/2010;;125;125;;;75;0;;
Amhara;South Wello;Wegde;30416;30/11/2007;;1;1;1;;;28;;
Amhara;South Wello;Wegde;30416;30/11/2007;;1;1;1;;;28;;
Amhara;South Wello;Wegde;30416;07/09/2006;;828;828;;;710;177;135;
Amhara;Central Gondar;Dembia;30111;01/08/2010;;;;;;124;0;;
Amhara;Central Gondar;wegera;30109;20/08/2011;;;0;;;;;;
OROMIA;Borena;Teltale;41212;01/04/2010;;3000;3000;;;16003;12;1050;
Amhara;South Wello;Thehulederie;30405;01/08/2004;;;;2;1;;0;;
Amhara;South Wello;Kalu;30407;01/08/2010;;8107;8107;;;873;4;232;13
Amhara;South Wello;Kalu;30407;01/08/2010;;2750;2750;;;189;37;;
Amhara;South Wello;Kalu;30407;01/08/2010;;;;;;125;57;;
Amhara;Central Gondar;Takusa;30121;07/09/2008;;22;22;;;;0;;
Tigray;Western Tigray;Tahtay Adiyabo;10101;01/08/2010;;2952;2952;;;;0;;
Tigray;Western Tigray;Tahtay Adiyabo;10101;01/07/2010;;2200;2200;;;875;12;;
Amhara;South Wello;Kutaber;30403;01/08/2010;;7891;7891;;;382;1;;
Amhara;South Wello;Tenta;30402;01/08/2010;;3645;3645;;;223;8;;
Amhara;South Wello;Mekdela;30401;01/08/2010;;726;726;;;60;0;;
Amhara;South Wello;Jama;30414;01/08/2010;;6;6;;;;4;6;
Amhara;South Wello;Albuko;30408;01/08/2010;;28150;28150;;;4089;88;249;
Amhara;North Wello;Delanta;30306;01/08/2010;;12686;12686;;;1470;65;39;
SNNPR;Silte;Selti;72002;07/09/2006;;3120;3120;;;;0;;
SNNPR;Silte;Selti;72002;06/12/2006;;;;;;;121;3120;984
Tigray;Western Tigray;shire;10108;01/08/2010;;999;999;;;;0;;
Amhara;South Wello;Ambasel;30404;01/08/2010;;77853;77853;;;2716;19;805;
Amhara;South Gonder;Dera (Amhara);40602;01/08/2010;;18641;18641;;;2726;316;;79
Amhara;South Gonder;Libokemekem;30202;01/08/2010;;;;;;387;62;;
Amhara;South Gonder;Fogera;30203;01/08/2010;;;;;;1164;64;;
Amhara;West Gojam;Bure Town;30710;01/08/2010;;1960;1960;;;;0;;
Amhara;South Wello;Kalu;30407;01/08/2010;;8540;8540;;;972;45;726;
SNNPR;Sidama;Shashogo;70204;07/09/2006;;1540;1540;;;;0;;
Amhara;North Shewa;Kewet;30512;01/08/2010;;1495;1495;;;110;3;;
Amhara;North Wello;Wadla;30305;01/08/2010;;1336;1336;;;116;9;;
SNNPR;Hadiya;Shashogo;70204;07/09/2006;;7500;7500;;;;0;;
Amhara;North Wello;Bugna;30301;01/08/2010;;4462;4462;;;1004;28;50;
Amhara;North Wello;Wadla;30305;01/08/2010;;18935;18935;;;1866;23;3;
SNNPR;Hadiya;Shashogo;70204;06/12/2006;;;;2;;5066;0;8258;
Amhara;North Wello;Raya Kobo;30302;01/08/2010;;494;494;;;;0;494;
Amhara;North Wello;Raya Kobo;30302;01/08/2010;;5728;5728;;;493;14;47;44
Amhara;North Wello;Habru;30308;01/08/2010;;37796;37796;;;5064;72;2919;
Amhara;North Wello;Habru;30308;01/08/2010;;31255;31255;;;3422;58;2624;
SNNPR;Hadiya;Shashogo;70204;07/09/2005;;17;17;;;5.4;0;;
Afar;Afar Zone 5;Dewe;20503;29/07/2010;;1000;1000;;;;0;;
Amhara;Oromia;Artuma Fursi;31004;01/08/2010;;7560;7560;;;1202;3;5883;
Afar;Afar Zone 5;Samurobi Gele'alo;20502;29/07/2010;;1000;1000;;;;0;;
Afar;Afar Zone 5;Samurobi Gele'alo;20502;29/07/2010;;1100;1100;;;346;0;;
Tigray;Southern Tigray;Alamata;10407;01/08/2010;;5363;5363;;;;0;;
Tigray;Southern Tigray;Alamata;10407;01/08/2010;;18384;18384;;;;0;;
Afar;Afar Zone 5;Samurobi Gele'alo;20502;07/09/2006;;;;;;;660;;
Afar;Afar Zone 5;Samurobi Gele'alo;20502;07/09/2006;;;;;;;550;;
Afar;Afar Zone 5;Samurobi Gele'alo;20502;07/09/2006;;;;;;;620;;
Afar;Afar Zone 5;Samurobi Gele'alo;20502;07/09/2006;;;;;;;450;;
Afar;Afar Zone 5;Samurobi Gele'alo;20502;07/09/2006;;;;;;;400;;
Amhara;West Gojam;Semen Achefer;30701;01/08/2010;;250;250;;;;0;;
Tigray;Southern Tigray;Enderta;10602;01/08/2010;;395;395;;;37;8;;
SNNPR;South Omo;selamgo;70701;07/09/2007;;25000;25000;;;;0;;
Tigray;Southern Tigray;Seharti Samre;10601;01/07/2010;;980;980;;;404;49;;
Tigray;Central Tigray;Degua Temben;10604;01/08/2010;;130;130;;;5;0;;
Amhara;Wag Himra;Sahila;30806;20/03/2009;;;;;;;14;;
Tigray;Eastern Tigray;Saesi Tsesada Amba;10303;01/08/2010;;7950;7950;;;530;0;;
Tigray;Eastern Tigray;Saesi Tsesada Amba;10303;01/08/2006;;;;6;;;0;;
Tigray;Central Tigray;Nader Adet;10207;01/08/2010;;9120;9120;;;727;0;;
Tigray;Central Tigray;Tahtay Maychew;10206;01/07/2010;;3550;3550;;;208;0;;
Tigray;Western Tigray;Tahtay Koraro;10104;01/07/2010;;4735;4735;;;569;33;;
Tigray;Western Tigray;Medebay Zana;10103;01/07/2010;;2145;2145;;;225;0;;
Tigray;Western Tigray;Medebay Zana;10103;01/07/2010;;3020;3020;;;202;0;;
Tigray;Central Tigray;Kola Temben;10208;01/06/2010;;4450;4450;;;573;96;;
Tigray;Eastern Tigray;Erob;10302;01/07/2010;;755;755;;;14;17;;
Tigray;Southern Tigray;Ofla;10408;01/07/2010;;39705;39705;7;;2583;45;85;
Tigray;Southern Tigray;Mychew /Town/;10206;01/08/2010;;853;853;;;;0;;
Tigray;North Western Tigray;Kafta Humera;10501;01/07/2010;;1385;1385;;;3534;0;;
Tigray;Southern Tigray;Mychew /Town/;10206;01/08/2010;;1264;1264;;;;0;;
Somali;Afder;west Imi;50805;07/09/2006;;41000;41000;7;2;;0;;
Tigray;Southern Tigray;Endamehoni;10405;01/08/2010;;41950;41950;;;2226;107;;
Tigray;Southern Tigray;Raya Azebo;10406;01/07/2010;;10255;10255;;;250;303;1362;
Tigray;Central Tigray;Adwa;10204;01/07/2010;;1410;1410;;;;0;94;
Tigray;Eastern Tigray;Hawzen;10305;01/07/2010;;3630;3630;;;78;0;;
Tigray;Eastern Tigray;Hawzen;10305;30/11/2010;;10135;10135;;;1177;0;;
Tigray;Southern Tigray;Alamata;10407;21/12/2010;;11885;11885;2;;2416;202;9875;
Somali;Afder;west Imi;50805;07/09/2005;;66;66;;;;0;3000;
Somali;Afder;West Imi;50805;22/04/2005;;13415;13415;55;;;14128;;900
Amhara;Central Gondar;West Belesa;30117;01/06/2004;;;;2;;;0;;
Afar;Afar Zone 4;Ewa;20402;28/08/2010;;1200;1200;;;;0;;
Amhara;Central Gondar;West Belesa;30117;01/08/2004;;1100;1100;;;112;0;;
SNNPR;Gamugofa;Mierab Abaya;71005;22/06/2007;;;;;;179;45;500;
SNNPR;Gamugofa;Mierab Abaya;71005;07/09/2007;;470;470;;;400;108;470;
SNNPR;Gamugofa;Mierab Abaya;71005;07/09/2006;;300;300;;;;0;;
SNNPR;Gamugofa;Mierab Abaya;71005;03/12/2003;;;;;;120;0;300;
OROMIA;East Shewa;Metta;41009;01/04/2010;;1800;1800;;;3467;0;630;
Afar;Afar Zone 1;Chifra;20106;15/08/2010;;600;600;;;;0;;
Afar;Afar Zone 1;Chifra;20106;28/07/2010;;18600;18600;;;865;0;18600;
Afar;Afar Zone 1;Chifra;20106;14/08/2010;;15630;15630;;;160;0;15630;
Afar;Afar Zone 1;Chifra;20106;22/07/2010;;11500;11500;;;1642;0;11500;
Tigray;Central Tigray;Mereb Lehe;10201;01/08/2010;;5772;5772;;;;0;;
Tigray;Central Tigray;Mereb Lehe;10201;01/08/2010;;15810;15810;;;1054;72;;
OROMIA;Bale;Agarfa;41104;01/07/2010;;4000;4000;;;;0;;
Amhara;North Shewa;Merhabete;30502;01/08/2010;;1697;1697;;;50;0;;
OROMIA;East Shewa;Adama;40703;01/07/2010;;5000;5000;;;;0;1750;
OROMIA;East Shewa;Boset;40702;01/07/2010;;4000;4000;;;;0;;
OROMIA;East Shewa;Haro Maya;41006;01/04/2010;;;;;;187;0;;
OROMIA;East Shewa;Kombolcha;41001;01/04/2010;;;;;;63;0;;
Amhara;East Gojam;Michakel;30609;01/08/2005;;;;;;239;0;;
OROMIA;East Shewa;Girawa;41016;01/04/2010;;5000;5000;;;616;0;;
Amhara;East Gojam;Michakel;30609;01/08/2005;;;;;;;0;;34
OROMIA;East Shewa;Bedeno;41013;01/04/2010;;1700;1700;;;49;0;;
Amhara;East Gojam;Michakel;30609;01/08/2005;;2315;2315;;;775;0;;27
OROMIA;East Shewa;Deder;41011;01/04/2010;;2000;2000;;;195;0;;
OROMIA;East Shewa;Goro Gutu;41010;01/04/2010;;3000;3000;;;185;0;1050;
OROMIA;Arsi;Tena;40813;01/08/2010;;4150;4150;;;206;16;;
Amhara;South Wello;Legehida;30420;01/08/2010;;366;366;;;713;0;;
OROMIA;West Arsi;Shashemene Zuria;41712;01/08/2010;;5000;5000;;;95;0;;
Amhara;South Wello;Legehida;30420;01/08/2010;;381;381;;;51;0;;
OROMIA;West Arsi;Adaba;41710;01/08/2010;;22000;22000;;;459;3;7700;
OROMIA;West Arsi;Dodola;41707;01/08/2010;;;;;;;10;;
OROMIA;Arsi;Shirka;40814;01/08/2010;;2500;2500;;;240;0;875;
OROMIA;West Guji;Gelana (West Guji);41217;01/04/2010;;14000;14000;;;3173;0;988;
OROMIA;Bale;Lege Hida;41107;01/07/2010;;4500;4500;;;;0;;
Amhara;Central Gondar;Lay Armacho;30108;01/08/2004;;;;;;268;48;;
SNNPR;Silte;Lanfuro;72003;07/09/2006;;300;300;;;;0;;
Tigray;North Western Tigray;Kafta Humera;10501;01/06/2004;;;;2;;;0;;
SNNPR;Silte;Lanfuro;72003;06/12/2006;;;;;;18.4;49;300;60
SNNPR;Silte;Lanfuro;72003;01/05/2003;;;;;;128;333;;
Tigray;Southern Tigray;Raya Azebo;10406;07/09/2007;;87;87;;;;0;;
Tigray;Southern Tigray;Raya Azebo;10406;01/08/2006;;;;;;;0;;24
Tigray;Southern Tigray;Raya Azebo;10406;01/09/2004;;50;50;;;;0;;
Tigray;Southern Tigray;Raya Azebo;10406;01/09/2004;;1875;1875;;;1087;0;;
Tigray;Southern Tigray;Raya Azebo;10406;07/09/2001;;;;;;200;0;;
Tigray;Southern Tigray;Ofla;10408;01/08/2004;;;;;;176;0;;
SNNPR;South Omo;Kuraz (Dasenech) ;70706;07/09/2006;;10000;10000;125;;;0;;
Tigray;Southern Tigray;Alamata;10407;07/09/2007;;1400;1400;;;;0;;
Tigray;Southern Tigray;Alamata;10407;01/09/2003;;;;;;;0;2000;
Tigray;Southern Tigray;Alamata;10407;11/08/2001;;1027;1027;;;;0;162;
SNNPR;South Omo;Kuraz (Dasenech and Yangatom);70706;07/09/2006;;15748;15748;;;;0;;
Tigray;Western Tigray;Medebay Zana;10103;01/08/2004;;;;;;176;0;;
SNNPR;South Omo;Kuraz (Dasenech and Yangatom);70706;06/12/2006;;5000;5000;;;;96;;
SNNPR;South Omo;Kuraz (Dasenech and Yangatom);70706;07/09/2005;;5000;5000;;;;96;;
Tigray;Eastern Tigray;Hawzen;10305;01/08/2005;;3400;3400;;;815;3;;
SNNPR;South Omo;Kuraz (Dasenech and Yangatom);70706;07/09/2001;;;;6;;;0;;
Tigray;Central Tigray;Laelay Maychew;10205;01/08/2004;;;;1;;85;0;;28
Tigray;Central Tigray;Adwa;10204;01/08/2004;;;;4;;;0;;
SNNPR;South Omo;Kuraz (Dasenech and Yangatom);70706;11/12/2001;;;;;;;53;;
SNNPR;South Omo;Kuraz (Dasenech and Yangatom);70706;07/09/2001;;;;12;;;0;;
SNNPR;South Omo;Kuraz (Dasenech and Yangatom);70706;07/09/2007;;28000;28000;;;;0;;
Somali;Doolo;Warder;50704;05/12/2005;;8000;8000;1;;;0;;
Somali;Siti;Shinile;50103;07/09/2000;;;;;;;0;1000;
Somali;Siti;Erer;130105;07/09/2000;;;;5;;377;300;1820;
Somali;Siti;Ayisha;50101;06/12/2006;;3000;3000;;;;500;;19
Somali;Liben;Filtu;50901;07/09/2005;;6225;6225;;;;260;;
Somali;Liben;Filtu;50901;07/09/2005;;6225;6225;5;;;818;;
Somali;Liben;Filtu;50901;01/05/2002;;;;;;;0;2500;
Somali;Liben;Dolo Odo;50902;30/11/2003;;10000;10000;;;;0;;
Somali;Liben;Dolo Odo;50902;07/09/2005;;46700;46700;6;;;0;;
Somali;Liben;Dolo Odo;50902;05/12/2005;;;;6;;;0;;
Somali;Liben;Dolo Odo;50902;07/09/2005;;150000;150000;6;;;259;;
Somali;Korahe;Kebridehar;50502;07/09/2005;;;;1;;;0;;105
Somali;Korahe;Kebridehar;50502;07/09/2006;;3500;3500;2;;;0;;33
Somali;Korahe;Kebridehar;50502;05/12/2005;;4800;4800;2;;;2365;;
Somali;Korahe;Kebridehar;50502;07/09/2005;;;;;;;0;;200
Somali;Fafan;Jijiga;50204;25/04/2005;;;;;;;0;;200
Somali;Fafan;Gursum;41003;07/09/2005;;550;550;4;;;900;;
Somali;Shebelle;Mustahil;50606;06/12/2006;;361600;361600;80;;;0;;
Somali;Shebelle;Mustahil;50606;07/09/2003;;91050;91050;64;;;5900;6350;880
Somali;Shebelle;Mustahil;50606;07/09/2003;;100000;100000;64;;;0;;
Somali;Shebelle;Mustahil;50606;08/08/2007;;32000;32000;2;4;4770;361;32000;
Somali;Shebelle;Mustahil;50606;07/09/2006;;;;;;;0;;300
Somali;Shebelle;Mustahil;50606;07/09/2006;;74000;74000;4;8;;0;;
Somali;Shebelle;Mustahil;50606;07/09/2005;;;;4;;;0;;300
Somali;Shebelle;Mustahil;50606;07/09/2005;;16449;16449;14;;5400;4534;;
Somali;Shebelle;Kelafo;50605;05/12/2005;;40000;40000;66;;;0;;
Somali;Shebelle;Kelafo;50605;07/09/2003;;110000;110000;;;;0;;
Somali;Shebelle;Kelafo;50605;07/09/2006;;;;;;;0;;108
Somali;Shebelle;Kelafo;50605;07/09/2006;;88540;88540;29;2;;0;;
Somali;Shebelle;Kelafo;50605;07/09/2006;;;;2;1;3200;392;8539;
Somali;Shebelle;Kelafo;50605;07/09/2005;;9574;9574;29;;5969;23440;;34
SNNPR;Wolayita;Kindo Koyisha;70606;07/09/2006;;4035;4035;;;;0;;
Somali;Shebelle;Gode;50604;07/09/2006;;5650;5650;10;;;333;;
Somali;Shebelle;Ferfer;50607;07/09/2006;;13514;13514;;;;0;;
Somali;Shebelle;Ferfer;50607;07/09/2005;;18500;18500;5;;;0;;
Somali;Fefan;Kebribeyah;50206;27/04/2005;;;;16;;;0;;108
Somali;Fefan;Kebribeyah;50206;05/12/2005;;24550;24550;53;;2500;27638;125000;5600
Gambella;Agnewak;Jore;120204;01/08/2010;;1250;1250;;;;0;;
Somali;Degehabur;Gashamo;50304;07/09/2005;;105000;105000;;;;0;;
Somali;Degehabur;Degehabur;50302;05/12/2005;;10000;10000;10;;;3125;;
Gambella;Agnewak;Jor;120204;07/09/2006;;;;;;1650;1245;30915;
Amhara;Oromia;Jilye Tumuga;31003;30/11/2007;;;;;;50;60;;
Amhara;Oromia;Jilye Tumuga;31003;30/11/2007;;;;;;50;60;;
Amhara;Oromia;Jilye Tumuga;31003;07/09/2006;;500;500;1;;273;0;739;
OROMIA;South West Shoa;Illu Galan;40500;01/07/2010;;14600;14600;;;950;0;;
Harari;Harar;Sofi;130101;07/09/2005;;;;;;1835;0;;
Harari;Harar;Sofi;130101;07/09/2005;;;;;;148;0;;
Harari;Harar;Sofi;130101;07/09/2005;;;;;;115;0;;
Somali;Liben;Guradamole;50801;05/12/2005;;23000;23000;16;;;0;;
Somali;Liben;Guradamole;50801;07/09/2005;;;;;;;0;;20
Harari;Harar;Sofi;130101;07/09/2005;;;;;;74.5;0;;
Harari;Harar;Sofi;130101;07/09/2005;;;;;;71;0;;
Harari;Harar;Sofi;130101;07/09/2005;;;;;;3.5;0;;
Harari;Harar;Sofi;130101;07/09/2005;;;;;;1.5;0;;
Harari;Harar;Sofi;130101;22/06/2001;;40;40;;;;0;;
Harari;Harar;Sofi;130101;22/06/2001;;5;5;;;;0;;
Tigray;North Western Tigray;Humera /Town/;10501;01/08/2010;;6909;6909;;;;0;;
Tigray;North Western Tigray;Humera /Town/;10501;07/09/2007;;462;462;;;;0;;
Tigray;North Western Tigray;Humera /Town/;10501;01/08/2006;;;;;;;0;400;
Tigray;Southern Tigray;Hintalo Wajirat;10603;01/07/2010;;1140;1140;;;769;0;;
Tigray;Southern Tigray;Hintalo Wajirat;10603;01/07/2010;;2495;2495;;;;0;161;
SNNPR;Wolayita;Sodo Zuria;70605;07/09/2006;;1363;1363;;;;0;;
SNNPR;Wolayita;Sodo Zuria;70605;07/09/2005;;1363;1363;;;600;0;;17
SNNPR;Wolayita;Sodo Zuria;70605;05/12/2005;;;;;;631;0;1363;17
SNNPR;Wolayita;Ofa;70607;07/09/2006;;6240;6240;;;;0;;
SNNPR;Wolayita;Ofa;70607;01/08/2005;;70;70;1;;20;0;;
SNNPR;Wolayita;Ofa;70607;01/08/2004;;;;;;160;0;;
SNNPR;Wolayita;Ofa;70607;01/04/2004;;;;;;284;0;;109
SNNPR;Wolayita;Ofa;70607;02/12/2002;;;;;;402;0;;
SNNPR;Wolayita;Humbo;70604;07/12/2007;;6768;6768;;;364;3;3270;654
SNNPR;Wolayita;Humbo;70604;07/09/2006;;7885;7885;;;;0;;
SNNPR;Wolayita;Humbo;70604;06/12/2006;;;;;;435;0;1075;
SNNPR;Wolayita;Humbo;70604;07/09/2005;;6755;6755;2;;1017;0;;
SNNPR;Wolayita;Humbo;70604;05/12/2005;;;;2;;1017;1525;6755;
SNNPR;Wolayita;Damot Sore;70609;07/09/2008;;12000;12000;;;200;0;;
SNNPR;Wolayita;Damot Sore;70609;07/09/2007;;6000;6000;;;400;0;;
SNNPR;Wolayita;Damot Sore;70609;07/09/2006;;650;650;;;39;0;;
SNNPR;Wolayita;Damot Sore;70609;07/09/2006;;860;860;;;10;0;;
SNNPR;Wolayita;Damot Sore;70609;07/09/2005;;1000;1000;12;;150;40;4;
SNNPR;Wolayita;Damot Sore;70609;07/09/2004;;;;;;80;0;;
