,time,dis,dis_3,dis_7,max_dt_3days,3max_dt_3days,7max_dt_3days,station
1999-01-03,1999-01-03,779.5056,764.0238,754.69165,1314.2998046875,885.4019775390625,858.053466796875,G5242
1999-01-07,1999-01-07,774.255,766.53876,748.30884,1314.2998046875,952.8836669921875,858.053466796875,G5242
1999-01-10,1999-01-10,1314.2998,885.402,789.3758,1314.2998046875,952.8836669921875,858.053466796875,G5242
1999-01-14,1999-01-14,898.93256,830.81964,858.05347,1732.0301513671875,1021.310546875,858.053466796875,G5242
1999-01-17,1999-01-17,864.86914,952.88367,854.75903,1732.0301513671875,1021.310546875,858.053466796875,G5242
1999-01-21,1999-01-21,970.22943,906.2152,837.9003,1732.0301513671875,1021.310546875,858.053466796875,G5242
1999-01-24,1999-01-24,1732.0302,1021.31055,829.4058,1732.0301513671875,1021.310546875,858.053466796875,G5242
1999-01-28,1999-01-28,959.2362,828.3843,777.69147,1732.0301513671875,1021.310546875,854.759033203125,G5242
1999-01-31,1999-01-31,823.3069,784.09045,737.6443,1732.0301513671875,1021.310546875,837.9003295898438,G5242
1999-02-04,1999-02-04,770.15906,735.0359,694.64746,1841.580322265625,1021.310546875,829.4058227539062,G5242
1999-02-07,1999-02-07,734.73676,703.55365,687.3853,1841.580322265625,866.9721069335938,777.6914672851562,G5242
1999-02-11,1999-02-11,699.6829,706.0879,668.79065,1841.580322265625,866.9721069335938,737.644287109375,G5242
1999-02-14,1999-02-14,1841.5803,866.9721,647.75977,1841.580322265625,866.9721069335938,694.6474609375,G5242
1999-02-18,1999-02-18,895.02374,662.6252,606.9679,1941.05859375,984.7433471679688,692.3046264648438,G5242
1999-02-21,1999-02-21,658.8395,617.1043,578.2665,1941.05859375,1069.0478515625,764.2713012695312,G5242
1999-02-25,1999-02-25,1139.1313,724.90466,629.52155,2315.1083984375,1117.123046875,800.8243408203125,G5242
1999-02-28,1999-02-28,1941.0586,984.74335,692.3046,2315.1083984375,1117.123046875,833.2520141601562,G5242
1999-03-04,1999-03-04,1903.5496,1069.0479,764.2713,2315.1083984375,1117.123046875,869.5902709960938,G5242
1999-03-07,1999-03-07,2315.1084,1117.123,800.82434,2315.1083984375,1117.123046875,869.5902709960938,G5242
1999-03-11,1999-03-11,1403.9728,1101.8011,833.252,2315.1083984375,1180.7325439453125,911.3997802734375,G5242
1999-03-14,1999-03-14,1544.7416,973.5145,869.5903,2315.1083984375,1180.7325439453125,959.5376586914062,G5242
1999-03-18,1999-03-18,973.4782,924.1648,844.22754,2315.1083984375,1180.7325439453125,959.5376586914062,G5242
1999-03-21,1999-03-21,1742.3497,1180.7325,911.3998,2713.34228515625,1391.2767333984375,1089.719482421875,G5242
1999-03-25,1999-03-25,1258.9769,1016.6757,959.53766,2776.822265625,1391.2767333984375,1158.40380859375,G5242
1999-03-28,1999-03-28,1106.8392,989.9409,937.0247,2952.777587890625,1489.553955078125,1202.4486083984375,G5242
1999-04-01,1999-04-01,2713.3423,1391.2767,1089.7195,2952.777587890625,1489.553955078125,1202.4486083984375,G5242
1999-04-04,1999-04-04,2776.8223,1352.7415,1158.4038,2952.777587890625,1489.553955078125,1202.4486083984375,G5242
1999-04-08,1999-04-08,2952.7776,1489.554,1202.4486,2952.777587890625,1489.553955078125,1202.4486083984375,G5242
1999-04-11,1999-04-11,2676.4246,1444.7438,1178.462,2952.777587890625,1489.553955078125,1222.9637451171875,G5242
1999-04-15,1999-04-15,1458.5674,1199.3435,1171.8951,2952.777587890625,1513.5323486328125,1256.5174560546875,G5242
1999-04-18,1999-04-18,1719.7224,1242.5175,1119.8853,2952.777587890625,1513.5323486328125,1256.5174560546875,G5242
1999-04-22,1999-04-22,2304.6736,1476.6246,1222.9637,2676.424560546875,1513.5323486328125,1290.807373046875,G5242
1999-04-25,1999-04-25,1943.6154,1513.5323,1256.5175,2365.3095703125,1513.5323486328125,1290.807373046875,G5242
1999-04-29,1999-04-29,2224.8335,1475.8773,1234.2368,2365.3095703125,1513.5323486328125,1290.807373046875,G5242
1999-05-02,1999-05-02,2365.3096,1443.5577,1290.8074,2365.3095703125,1513.5323486328125,1290.807373046875,G5242
1999-05-06,1999-05-06,1397.0303,1321.5972,1196.7714,2365.3095703125,1513.5323486328125,1290.807373046875,G5242
1999-05-09,1999-05-09,1540.3689,1277.7582,1195.0573,2365.3095703125,1475.8773193359375,1290.807373046875,G5242
1999-05-13,1999-05-13,1371.6637,1296.5082,1147.9905,2365.3095703125,1443.5577392578125,1290.807373046875,G5242
1999-05-16,1999-05-16,2162.9575,1321.2914,1103.2512,2162.95751953125,1321.59716796875,1196.7713623046875,G5242
1999-05-20,1999-05-20,1732.7528,1207.2834,1067.757,2162.95751953125,1321.2913818359375,1195.0572509765625,G5242
1999-05-23,1999-05-23,1242.1466,1111.715,1042.0499,2162.95751953125,1321.2913818359375,1147.990478515625,G5242
1999-05-27,1999-05-27,1098.4734,1038.1445,972.8282,2162.95751953125,1321.2913818359375,1103.251220703125,G5242
1999-05-30,1999-05-30,1493.3833,1048.7122,908.9552,1732.7528076171875,1207.283447265625,1067.7569580078125,G5242
1999-06-03,1999-06-03,1006.32684,910.70734,872.2173,1493.38330078125,1111.7149658203125,1042.0499267578125,G5242
1999-06-06,1999-06-06,1077.7201,1022.8071,826.581,1797.622314453125,1048.712158203125,972.8281860351562,G5242
1999-06-10,1999-06-10,999.57086,825.5887,734.7633,1797.622314453125,1048.712158203125,908.9552001953125,G5242
1999-06-13,1999-06-13,881.05475,770.7546,698.3267,1797.622314453125,1022.80712890625,872.21728515625,G5242
1999-06-17,1999-06-17,1797.6223,841.06775,677.49384,1797.622314453125,1022.80712890625,826.5809936523438,G5242
1999-06-20,1999-06-20,1028.741,881.1131,655.2928,1797.622314453125,881.1130981445312,734.7633056640625,G5242
1999-06-24,1999-06-24,1332.5624,754.55756,651.99097,1797.622314453125,881.1130981445312,698.3267211914062,G5242
1999-06-27,1999-06-27,1332.9426,875.80334,633.9072,1797.622314453125,881.1130981445312,677.4938354492188,G5242
1999-07-01,1999-07-01,799.59235,696.16736,594.89996,1332.942626953125,881.1130981445312,655.2927856445312,G5242
1999-07-04,1999-07-04,724.0793,632.9949,553.74664,1332.942626953125,875.8033447265625,651.990966796875,G5242
1999-07-08,1999-07-08,667.7764,574.5229,545.79944,1332.942626953125,875.8033447265625,633.9072265625,G5242
1999-07-11,1999-07-11,616.322,628.59106,529.2401,927.4049072265625,696.1673583984375,594.8999633789062,G5242
1999-07-15,1999-07-15,721.4732,596.70825,520.5928,927.4049072265625,674.529052734375,553.7466430664062,G5242
1999-07-18,1999-07-18,771.7343,674.52905,510.74414,1039.1668701171875,674.529052734375,545.7994384765625,G5242
1999-07-22,1999-07-22,927.4049,664.5305,503.93872,1039.1668701171875,674.529052734375,533.24365234375,G5242
1999-07-25,1999-07-25,737.86053,557.6787,490.4504,1039.1668701171875,674.529052734375,582.1401977539062,G5242
1999-07-29,1999-07-29,1039.1669,605.1818,513.6792,1156.952880859375,677.9622802734375,582.1401977539062,G5242
1999-08-01,1999-08-01,818.90546,622.3852,533.24365,1276.062744140625,758.8668212890625,593.5059814453125,G5242
1999-08-05,1999-08-05,826.6028,628.4808,582.1402,1315.6385498046875,816.0816040039062,608.4629516601562,G5242
1999-08-08,1999-08-08,1156.9529,677.9623,535.36554,1315.6385498046875,816.0816040039062,608.4629516601562,G5242
1999-08-12,1999-08-12,1276.0627,758.8668,593.506,1315.6385498046875,816.0816040039062,608.4629516601562,G5242
1999-08-15,1999-08-15,1315.6385,816.0816,608.46295,1315.6385498046875,816.0816040039062,609.0918579101562,G5242
1999-08-19,1999-08-19,848.8537,633.34467,547.03876,1315.6385498046875,816.0816040039062,609.0918579101562,G5242
1999-08-22,1999-08-22,643.8377,575.7611,543.75195,1315.6385498046875,816.0816040039062,609.0918579101562,G5242
1999-08-26,1999-08-26,677.7459,719.0978,609.09186,1315.6385498046875,849.475341796875,609.0918579101562,G5242
1999-08-29,1999-08-29,787.316,680.45355,582.0574,1040.237548828125,849.475341796875,609.0918579101562,G5242
1999-09-02,1999-09-02,795.4569,728.1523,572.3462,1040.237548828125,849.475341796875,609.0918579101562,G5242
1999-09-05,1999-09-05,1040.2375,849.47534,602.58105,1040.237548828125,849.475341796875,609.0918579101562,G5242
1999-09-09,1999-09-09,743.92255,651.7733,572.6197,1040.237548828125,849.475341796875,602.5810546875,G5242
1999-09-12,1999-09-12,710.411,595.4963,536.2126,1040.237548828125,849.475341796875,602.5810546875,G5242
1999-09-16,1999-09-16,988.8195,623.9229,550.899,1040.237548828125,849.475341796875,602.5810546875,G5242
1999-09-19,1999-09-19,632.4278,601.85254,525.4522,1710.3233642578125,917.49853515625,680.88916015625,G5242
1999-09-23,1999-09-23,809.06793,680.8365,566.81885,1710.3233642578125,917.49853515625,743.659912109375,G5242
1999-09-26,1999-09-26,840.4367,640.898,586.33136,1884.1795654296875,1151.017333984375,933.90380859375,G5242
1999-09-30,1999-09-30,1710.3234,917.49854,680.88916,1884.1795654296875,1151.017333984375,933.90380859375,G5242
1999-10-03,1999-10-03,1260.5776,873.8276,743.6599,1884.1795654296875,1151.017333984375,933.90380859375,G5242
1999-10-07,1999-10-07,1884.1796,1151.0173,933.9038,1884.1795654296875,1309.299072265625,993.1541748046875,G5242
1999-10-10,1999-10-10,1245.4702,987.08026,904.01715,1884.1795654296875,1309.299072265625,993.1541748046875,G5242
1999-10-14,1999-10-14,1000.1335,938.1469,921.0572,1884.1795654296875,1309.299072265625,993.1541748046875,G5242
1999-10-17,1999-10-17,1455.8987,1309.2991,993.1542,1884.1795654296875,1309.299072265625,993.1541748046875,G5242
1999-10-21,1999-10-21,1730.6321,1156.6453,974.0795,1877.398681640625,1309.299072265625,993.1541748046875,G5242
1999-10-24,1999-10-24,1877.3987,1119.885,967.0151,1877.398681640625,1309.299072265625,993.1541748046875,G5242
1999-10-28,1999-10-28,1236.1152,1218.7583,977.3598,2337.599853515625,1309.299072265625,993.1541748046875,G5242
1999-10-31,1999-10-31,1254.6458,1060.0417,943.1346,2337.599853515625,1304.1878662109375,1037.508056640625,G5242
1999-11-04,1999-11-04,1715.2412,1041.9381,940.48083,2337.599853515625,1304.1878662109375,1037.508056640625,G5242
1999-11-07,1999-11-07,2337.5999,1175.8322,987.91516,2337.599853515625,1304.1878662109375,1083.0955810546875,G5242
1999-11-11,1999-11-11,2114.1436,1304.1879,1037.508,2337.599853515625,1304.1878662109375,1100.74267578125,G5242
1999-11-14,1999-11-14,1682.0259,1167.2441,1027.5856,2337.599853515625,1380.869140625,1134.7725830078125,G5242
1999-11-18,1999-11-18,1638.6907,1200.9688,1083.0956,2860.218994140625,1542.52880859375,1241.158203125,G5242
1999-11-21,1999-11-21,1811.6553,1273.2518,1100.7427,2860.218994140625,1542.52880859375,1241.158203125,G5242
1999-11-25,1999-11-25,1697.6809,1380.8691,1134.7726,2860.218994140625,1542.52880859375,1241.158203125,G5242
1999-11-28,1999-11-28,2860.219,1542.5288,1241.1582,2860.218994140625,1542.52880859375,1241.158203125,G5242
1999-12-02,1999-12-02,2134.6484,1463.8525,1223.7577,2860.218994140625,1542.52880859375,1241.158203125,G5242
1999-12-05,1999-12-05,1492.9053,1289.6204,1168.7882,2860.218994140625,1542.52880859375,1246.32080078125,G5242
1999-12-09,1999-12-09,1521.5328,1322.0048,1111.8105,2860.218994140625,1542.52880859375,1246.32080078125,G5242
1999-12-12,1999-12-12,1991.748,1383.675,1100.4658,2627.3515625,1520.789794921875,1283.946044921875,G5242
1999-12-16,1999-12-16,1462.4026,1327.735,1246.3208,2627.3515625,1520.789794921875,1283.946044921875,G5242
1999-12-19,1999-12-19,1843.54,1375.8236,1236.8295,2627.3515625,1520.789794921875,1283.946044921875,G5242
1999-12-23,1999-12-23,2627.3516,1520.7898,1283.946,2627.3515625,1520.789794921875,1283.946044921875,G5242
1999-12-26,1999-12-26,1681.1349,1365.1177,1237.7473,2627.3515625,1520.789794921875,1283.946044921875,G5242
1999-12-30,1999-12-30,1653.1233,1423.3936,1254.3651,2627.3515625,1520.789794921875,1283.946044921875,G5242
2000-01-03,2000-01-03,1376.3264,1293.633,1213.6107,2627.3515625,1520.789794921875,1283.946044921875,G5242
2000-01-07,2000-01-07,1605.7893,1382.7588,1201.4373,1681.1348876953125,1423.3935546875,1254.3651123046875,G5242
2000-01-10,2000-01-10,1577.482,1317.7021,1203.4075,1653.123291015625,1423.3935546875,1254.3651123046875,G5242
2000-01-14,2000-01-14,1305.5074,1200.6362,1116.5521,1605.789306640625,1382.7587890625,1213.6107177734375,G5242
2000-01-17,2000-01-17,1332.5984,1238.1333,1175.166,1714.8984375,1382.7587890625,1203.407470703125,G5242
2000-01-21,2000-01-21,1326.7828,1269.3671,1139.2637,1714.8984375,1317.7021484375,1203.407470703125,G5242
2000-01-24,2000-01-24,1348.6083,1222.5815,1031.6558,1714.8984375,1269.3670654296875,1175.166015625,G5242
2000-01-28,2000-01-28,1714.8984,1123.7996,981.8439,1714.8984375,1269.3670654296875,1175.166015625,G5242
2000-01-31,2000-01-31,1127.1124,1014.7165,931.5063,1714.8984375,1269.3670654296875,1139.263671875,G5242
2000-02-04,2000-02-04,992.54504,936.1894,908.3534,1714.8984375,1222.58154296875,1031.65576171875,G5242
2000-02-07,2000-02-07,963.4347,946.02216,875.4802,1714.8984375,1123.799560546875,981.8438720703125,G5242
2000-02-11,2000-02-11,1025.594,911.21747,830.53107,1127.1124267578125,1014.7164916992188,931.5062866210938,G5242
2000-02-14,2000-02-14,933.85754,837.9139,784.10767,1025.593994140625,946.0221557617188,908.3533935546875,G5242
2000-02-18,2000-02-18,855.6152,808.55316,729.51984,1025.593994140625,946.0221557617188,875.480224609375,G5242
2000-02-21,2000-02-21,875.5779,790.5575,714.6553,1025.593994140625,911.2174682617188,830.5310668945312,G5242
2000-02-25,2000-02-25,777.29895,759.50995,739.2161,933.8575439453125,837.9138793945312,784.107666015625,G5242
2000-02-28,2000-02-28,771.27466,750.6869,678.74994,1035.1392822265625,930.1084594726562,739.2161254882812,G5242
2000-03-04,2000-03-04,697.7073,659.24316,652.82623,1035.1392822265625,930.1084594726562,739.2161254882812,G5242
2000-03-07,2000-03-07,656.337,667.19763,638.0192,1097.19482421875,930.5870971679688,739.2161254882812,G5242
2000-03-11,2000-03-11,1035.1393,930.10846,695.29565,2028.4443359375,930.5870971679688,752.9421997070312,G5242
2000-03-14,2000-03-14,964.06964,742.39276,710.4793,2028.4443359375,930.5870971679688,752.9421997070312,G5242
2000-03-18,2000-03-18,1097.1948,930.5871,685.11127,2028.4443359375,930.5870971679688,752.9421997070312,G5242
2000-03-21,2000-03-21,2028.4443,880.9489,752.9422,2679.100830078125,1066.5645751953125,791.5525512695312,G5242
2000-03-25,2000-03-25,785.7819,769.1322,719.3082,2679.100830078125,1066.5645751953125,791.5525512695312,G5242
2000-03-28,2000-03-28,932.2456,850.66583,712.7675,2679.100830078125,1088.6209716796875,835.0276489257812,G5242
2000-04-01,2000-04-01,2679.1008,1066.5646,791.55255,2679.100830078125,1088.6209716796875,837.7861938476562,G5242
2000-04-04,2000-04-04,1286.667,988.15826,785.7837,2679.100830078125,1088.6209716796875,870.020751953125,G5242
2000-04-08,2000-04-08,2115.5193,1088.621,835.02765,2679.100830078125,1088.6209716796875,870.020751953125,G5242
2000-04-11,2000-04-11,1353.3308,1052.5574,837.7862,2679.100830078125,1088.6209716796875,870.020751953125,G5242
2000-04-15,2000-04-15,2117.89,996.7345,870.02075,2117.889892578125,1140.58251953125,899.0850219726562,G5242
2000-04-18,2000-04-18,1042.5042,880.6729,832.86633,2117.889892578125,1140.58251953125,927.0402221679688,G5242
2000-04-22,2000-04-22,895.5608,937.9244,851.6219,2117.889892578125,1140.58251953125,927.0402221679688,G5242
2000-04-25,2000-04-25,1967.1798,1140.5825,899.085,2117.889892578125,1140.58251953125,927.0402221679688,G5242
2000-04-29,2000-04-29,1518.674,1044.125,927.0402,1967.1798095703125,1140.58251953125,927.0402221679688,G5242
2000-05-02,2000-05-02,1056.883,949.29675,880.47125,1967.1798095703125,1140.58251953125,927.0402221679688,G5242
2000-05-06,2000-05-06,1154.868,946.2045,849.4263,1967.1798095703125,1140.58251953125,927.0402221679688,G5242
2000-05-09,2000-05-09,1049.4768,868.2563,808.1822,1518.6739501953125,1044.125,927.0402221679688,G5242
2000-05-13,2000-05-13,1378.5575,906.13385,771.08307,1378.5574951171875,949.2967529296875,880.4712524414062,G5242
2000-05-16,2000-05-16,1186.6035,873.9449,728.95874,1378.5574951171875,946.2045288085938,849.42626953125,G5242
2000-05-20,2000-05-20,817.197,728.07007,673.3322,1378.5574951171875,906.1338500976562,808.1821899414062,G5242
2000-05-23,2000-05-23,727.9887,696.4461,695.4391,1378.5574951171875,906.1338500976562,771.0830688476562,G5242
2000-05-27,2000-05-27,767.11597,713.75757,646.61084,1186.603515625,873.9448852539062,728.958740234375,G5242
2000-05-30,2000-05-30,755.65125,673.806,600.1381,817.197021484375,728.070068359375,695.4390869140625,G5242
2000-06-03,2000-06-03,635.9529,591.93835,565.6525,1028.307861328125,713.757568359375,695.4390869140625,G5242
2000-06-06,2000-06-06,604.0336,573.86615,555.4663,1028.307861328125,713.757568359375,646.61083984375,G5242
2000-06-10,2000-06-10,648.0191,599.4272,495.18802,1028.307861328125,673.8060302734375,600.1381225585938,G5242
2000-06-13,2000-06-13,1028.3079,588.3147,489.1736,1028.307861328125,608.7830810546875,565.6525268554688,G5242
2000-06-17,2000-06-17,617.995,519.5062,459.06293,1028.307861328125,608.7830810546875,555.46630859375,G5242
2000-06-20,2000-06-20,534.2236,475.21542,483.69022,1028.307861328125,608.7830810546875,495.1880187988281,G5242
2000-06-24,2000-06-24,729.6678,608.7831,488.60254,1028.307861328125,608.7830810546875,489.1736145019531,G5242
2000-06-27,2000-06-27,776.1692,588.28046,444.4876,776.169189453125,608.7830810546875,488.6025390625,G5242
