TAA_PCODE,Stations,nb_event,quantile,pod,far,pofd,csi
MW10101,MW39,1,Q50_pred,1.0,0.9583333333333334,0.9583333333333334,0.041666666666666664
MW10101,MW39,1,Q80_pred,1.0,0.9782608695652174,0.9782608695652174,0.021739130434782608
MW10101,MW39,1,Q90_pred,1.0,0.9836065573770492,0.9836065573770492,0.01639344262295082
MW10102,MW31,1,Q50_pred,1.0,0.9583333333333334,0.9583333333333334,0.041666666666666664
MW10102,MW31,1,Q80_pred,1.0,0.972972972972973,0.972972972972973,0.02702702702702703
MW10102,MW31,1,Q90_pred,1.0,0.9811320754716981,0.9811320754716981,0.018867924528301886
MW10202,MW05,4,Q50_pred,0.75,0.8695652173913043,0.8333333333333334,0.125
MW10202,MW05,4,Q80_pred,0.25,0.9761904761904762,0.9111111111111111,0.022222222222222223
MW10202,MW05,4,Q90_pred,0.0,1.0,0.9285714285714286,0.0
MW10203,MW04,10,Q50_pred,0.9,0.6086956521739131,0.5833333333333334,0.375
MW10203,MW04,10,Q80_pred,0.7,0.825,0.7674418604651163,0.16279069767441862
MW10203,MW04,10,Q90_pred,0.7,0.8888888888888888,0.8484848484848485,0.10606060606060606
MW10205,MW40,4,Q50_pred,1.0,0.8709677419354839,0.8709677419354839,0.12903225806451613
MW10205,MW40,4,Q80_pred,0.75,0.9210526315789473,0.8974358974358975,0.07692307692307693
MW10205,MW40,4,Q90_pred,0.75,0.9302325581395349,0.9090909090909091,0.06818181818181818
MW10407,G1277,1,Q50_pred,1.0,0.9565217391304348,0.9565217391304348,0.043478260869565216
MW10407,G1277,1,Q80_pred,1.0,0.9743589743589743,0.9743589743589743,0.02564102564102564
MW10407,G1277,1,Q90_pred,1.0,0.9761904761904762,0.9761904761904762,0.023809523809523808
MW10502,MW07,3,Q50_pred,1.0,0.8571428571428571,0.8571428571428571,0.14285714285714285
MW10502,MW07,3,Q80_pred,1.0,0.90625,0.90625,0.09375
MW10502,MW07,3,Q90_pred,0.6666666666666666,0.9411764705882353,0.9142857142857143,0.05714285714285714
MW10508,MW21,1,Q50_pred,1.0,0.95,0.95,0.05
MW10508,MW21,1,Q80_pred,0.0,1.0,0.967741935483871,0.0
MW10508,MW21,1,Q90_pred,0.0,1.0,0.9743589743589743,0.0
MW10509,MW19,2,Q50_pred,1.0,0.9047619047619048,0.9047619047619048,0.09523809523809523
MW10509,MW19,2,Q80_pred,0.5,0.9705882352941176,0.9428571428571428,0.02857142857142857
MW10509,MW19,2,Q90_pred,0.5,0.9696969696969697,0.9411764705882353,0.029411764705882353
MW20201,MW22,3,Q50_pred,1.0,0.8636363636363636,0.8636363636363636,0.13636363636363635
MW20201,MW22,3,Q80_pred,0.6666666666666666,0.9375,0.9090909090909091,0.06060606060606061
MW20201,MW22,3,Q90_pred,0.6666666666666666,0.9444444444444444,0.918918918918919,0.05405405405405406
MW20202,MW46,3,Q50_pred,0.6666666666666666,0.9130434782608695,0.875,0.08333333333333333
MW20202,MW46,3,Q80_pred,0.6666666666666666,0.9259259259259259,0.8928571428571429,0.07142857142857142
MW20202,MW46,3,Q90_pred,0.6666666666666666,0.9523809523809523,0.9302325581395349,0.046511627906976744
MW20204,MW41,4,Q50_pred,0.75,0.8636363636363636,0.8260869565217391,0.13043478260869565
MW20204,MW41,4,Q80_pred,0.5,0.9333333333333333,0.875,0.0625
MW20204,MW41,4,Q90_pred,0.5,0.9428571428571428,0.8918918918918919,0.05405405405405406
MW20205,MW37,6,Q50_pred,0.8333333333333334,0.7727272727272727,0.7391304347826086,0.21739130434782608
MW20205,MW37,6,Q80_pred,0.6666666666666666,0.8787878787878788,0.8285714285714286,0.11428571428571428
MW20205,MW37,6,Q90_pred,0.5,0.9090909090909091,0.8333333333333334,0.08333333333333333
MW20206,MW42,4,Q50_pred,1.0,0.84,0.84,0.16
MW20206,MW42,4,Q80_pred,1.0,0.8571428571428571,0.8571428571428571,0.14285714285714285
MW20206,MW42,4,Q90_pred,0.75,0.9210526315789473,0.8974358974358975,0.07692307692307693
MW20207,G1307,2,Q50_pred,1.0,0.9,0.9,0.1
MW20207,G1307,2,Q80_pred,1.0,0.9428571428571428,0.9428571428571428,0.05714285714285714
MW20207,G1307,2,Q90_pred,1.0,0.9545454545454546,0.9545454545454546,0.045454545454545456
MW20402,MW10,1,Q50_pred,1.0,0.9818181818181818,0.9818181818181818,0.01818181818181818
MW20402,MW10,1,Q80_pred,1.0,0.9772727272727273,0.9772727272727273,0.022727272727272728
MW20402,MW10,1,Q90_pred,1.0,0.9743589743589743,0.9743589743589743,0.02564102564102564
MW20502,MW23,2,Q50_pred,0.5,0.95,0.9047619047619048,0.047619047619047616
MW20502,MW23,2,Q80_pred,0.5,0.9642857142857143,0.9310344827586207,0.034482758620689655
MW20502,MW23,2,Q90_pred,0.0,1.0,0.9512195121951219,0.0
MW20503,MW24,6,Q50_pred,0.6666666666666666,0.8,0.7272727272727273,0.18181818181818182
MW20503,MW24,6,Q80_pred,0.3333333333333333,0.9259259259259259,0.8064516129032258,0.06451612903225806
MW20503,MW24,6,Q90_pred,0.3333333333333333,0.9444444444444444,0.85,0.05
MW20504,MW11,1,Q50_pred,0.0,1.0,0.9523809523809523,0.0
MW20504,MW11,1,Q80_pred,0.0,1.0,0.9666666666666667,0.0
MW20504,MW11,1,Q90_pred,0.0,1.0,0.975,0.0
MW20505,MW43,4,Q50_pred,1.0,0.8181818181818182,0.8181818181818182,0.18181818181818182
MW20505,MW43,4,Q80_pred,0.5,0.9393939393939394,0.8857142857142857,0.05714285714285714
MW20505,MW43,4,Q90_pred,0.5,0.9473684210526315,0.9,0.05
MW20704,MW09,1,Q50_pred,1.0,0.975609756097561,0.975609756097561,0.024390243902439025
MW20704,MW09,1,Q80_pred,1.0,0.9767441860465116,0.9767441860465116,0.023255813953488372
MW20704,MW09,1,Q90_pred,0.0,1.0,0.9782608695652174,0.0
MW20807,MW15,4,Q50_pred,1.0,0.8260869565217391,0.8260869565217391,0.17391304347826086
MW20807,MW15,4,Q80_pred,0.75,0.9117647058823529,0.8857142857142857,0.08571428571428572
MW20807,MW15,4,Q90_pred,0.75,0.9210526315789473,0.8974358974358975,0.07692307692307693
MW20909,MW44,4,Q50_pred,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666
MW20909,MW44,4,Q80_pred,1.0,0.8823529411764706,0.8823529411764706,0.11764705882352941
MW20909,MW44,4,Q90_pred,0.5,0.9428571428571428,0.8918918918918919,0.05405405405405406
MW30101,MW47,3,Q50_pred,0.6666666666666666,0.9,0.8571428571428571,0.09523809523809523
MW30101,MW47,3,Q80_pred,0.3333333333333333,0.9333333333333333,0.8235294117647058,0.058823529411764705
MW30101,MW47,3,Q90_pred,0.0,1.0,0.8,0.0
MW30103,MW48,3,Q50_pred,0.6666666666666666,0.9166666666666666,0.88,0.08
MW30103,MW48,3,Q80_pred,0.3333333333333333,0.9666666666666667,0.90625,0.03125
MW30103,MW48,3,Q90_pred,0.3333333333333333,0.9722222222222222,0.9210526315789473,0.02631578947368421
MW30106,MW01,6,Q50_pred,0.5,0.8571428571428571,0.75,0.125
MW30106,MW01,6,Q80_pred,0.16666666666666666,0.9375,0.7142857142857143,0.047619047619047616
MW30106,MW01,6,Q90_pred,0.0,1.0,0.6666666666666666,0.0
MW30302,MW25,2,Q50_pred,1.0,0.9310344827586207,0.9310344827586207,0.06896551724137931
MW30302,MW25,2,Q80_pred,1.0,0.9411764705882353,0.9411764705882353,0.058823529411764705
MW30302,MW25,2,Q90_pred,1.0,0.9523809523809523,0.9523809523809523,0.047619047619047616
MW30503,MW49,3,Q50_pred,0.3333333333333333,0.95,0.8636363636363636,0.045454545454545456
MW30503,MW49,3,Q80_pred,0.3333333333333333,0.9333333333333333,0.8235294117647058,0.058823529411764705
MW30503,MW49,3,Q90_pred,0.0,1.0,0.8,0.0
MW30504,MW03,1,Q50_pred,1.0,0.9523809523809523,0.9523809523809523,0.047619047619047616
MW30504,MW03,1,Q80_pred,1.0,0.9444444444444444,0.9444444444444444,0.05555555555555555
MW30504,MW03,1,Q90_pred,1.0,0.9333333333333333,0.9333333333333333,0.06666666666666667
MW30801,MW12,1,Q50_pred,1.0,0.9705882352941176,0.9705882352941176,0.029411764705882353
MW30801,MW12,1,Q80_pred,1.0,0.96875,0.96875,0.03125
MW30801,MW12,1,Q90_pred,1.0,0.9761904761904762,0.9761904761904762,0.023809523809523808
MW30902,MW50,3,Q50_pred,1.0,0.9523809523809523,0.9523809523809523,0.047619047619047616
MW30902,MW50,3,Q80_pred,0.6666666666666666,0.9444444444444444,0.918918918918919,0.05405405405405406
MW30902,MW50,3,Q90_pred,0.6666666666666666,0.9534883720930233,0.9318181818181818,0.045454545454545456
MW30903,MW14,1,Q50_pred,1.0,0.9841269841269841,0.9841269841269841,0.015873015873015872
MW30903,MW14,1,Q80_pred,1.0,0.9705882352941176,0.9705882352941176,0.029411764705882353
MW30903,MW14,1,Q90_pred,1.0,0.9761904761904762,0.9761904761904762,0.023809523809523808
MW31001,MW51,3,Q50_pred,0.3333333333333333,0.9523809523809523,0.8695652173913043,0.043478260869565216
MW31001,MW51,3,Q80_pred,0.0,1.0,0.875,0.0
MW31001,MW51,3,Q90_pred,0.0,1.0,0.8571428571428571,0.0
MW31004,MW26,4,Q50_pred,0.0,1.0,0.84,0.0
MW31004,MW26,4,Q80_pred,0.0,1.0,0.8461538461538461,0.0
MW31004,MW26,4,Q90_pred,0.0,1.0,0.8181818181818182,0.0
MW31007,G2001,3,Q50_pred,0.6666666666666666,0.9047619047619048,0.8636363636363636,0.09090909090909091
MW31007,G2001,3,Q80_pred,0.3333333333333333,0.9545454545454546,0.875,0.041666666666666664
MW31007,G2001,3,Q90_pred,0.3333333333333333,0.9444444444444444,0.85,0.05
MW31103,MW52,3,Q50_pred,0.3333333333333333,0.9615384615384616,0.8928571428571429,0.03571428571428571
MW31103,MW52,3,Q80_pred,0.3333333333333333,0.96,0.8888888888888888,0.037037037037037035
MW31103,MW52,3,Q90_pred,0.3333333333333333,0.9545454545454546,0.875,0.041666666666666664
MW31104,G1724,8,Q50_pred,0.625,0.8076923076923077,0.7241379310344828,0.1724137931034483
