field_1,County,sub_county,ward,Date_st,Date_year,human_impa,hh_impact,p_impact,lat,lon,Adm0Name,Adm2Name,Adm1Name,DSCodeAdm1,DSCodeAdm2
"377",Mombasa,,Kipevu,2015-11-16,2015.000000000000000,"13","26","0",-4.034143700000000,39.626162999999998,Kenya,Changamwe,Mombasa,KE01,KE0101
"7",Mombasa,,Mikindani,2015-11-18,2015.000000000000000,"15","0","0",-4.004851700000000,39.628705900000000,Kenya,Jomvu,Mombasa,KE01,KE0102
"247",Mombasa,,Mikindani,2017-05-08,2017.000000000000000,"12","200","0",-4.004851700000000,39.628705900000000,Kenya,Jomvu,Mombasa,KE01,KE0102
"434",Mombasa,,Mikindani,2014-11-02,2014.000000000000000,"12","92","0",-4.004851700000000,39.628705900000000,Kenya,Jomvu,Mombasa,KE01,KE0102
"300",Mombasa,,,2015-11-26,2015.000000000000000,"12","6","0",-4.022335700000000,39.702331800000003,Kenya,Nyali,Mombasa,KE01,KE0104
"760",Kilifi,,Bahari,2006-05-23,2006.000000000000000,"0","0","5",-4.035210999999999,39.717818500000000,Kenya,Nyali,Mombasa,KE01,KE0104
"82",Mombasa,,,2018-10-29,2018.000000000000000,"12","0","0",-4.043466800000000,39.668213299999998,Kenya,Mvita,Mombasa,KE01,KE0106
"189",Mombasa,,Tononoka,2012-11-09,2012.000000000000000,"12","0","0",-4.047667100000000,39.669429700000002,Kenya,Mvita,Mombasa,KE01,KE0106
"231",Mombasa,,,2017-05-09,2017.000000000000000,"12","0","0",-4.043477100000000,39.668213100000003,Kenya,Mvita,Mombasa,KE01,KE0106
"299",Mombasa,,,2016-04-16,2016.000000000000000,"15","0","0",-4.043466800000000,39.668213299999998,Kenya,Mvita,Mombasa,KE01,KE0106
"378",Mombasa,,,2015-05-31,2015.000000000000000,"13","0","0",-4.043466800000000,39.668213299999998,Kenya,Mvita,Mombasa,KE01,KE0106
"457",Mombasa,,,2017-11-03,2017.000000000000000,"15","0","0",-4.075095999999999,39.665956100000002,Kenya,Mvita,Mombasa,KE01,KE0106
"549",Mombasa,,,2004-12-26,2004.000000000000000,"30","0","0",-4.043466800000000,39.668213299999998,Kenya,Mvita,Mombasa,KE01,KE0106
"554",Kwale,,,2002-09-16,2002.000000000000000,"29","0","0",-4.043466800000000,39.668213299999998,Kenya,Mvita,Mombasa,KE01,KE0106
"717",Mombasa,,,2006-11-07,2006.000000000000000,"47","84","0",-4.043466800000000,39.668213299999998,Kenya,Mvita,Mombasa,KE01,KE0106
