,dis
1997-01-02,0.000324295
1997-01-05,0.000286617
1997-01-09,0.000248311
1997-01-12,0.000221723
1997-01-16,0.000191304
1997-01-19,0.000171971
1997-01-23,0.00014988
1997-01-26,0.000135656
1997-01-30,0.000119282
1997-02-02,0.000108642
1997-02-06,9.63E-05
1997-02-09,8.82E-05
1997-02-13,7.87E-05
1997-02-16,7.24E-05
1997-02-20,6.50E-05
1997-02-23,6.01E-05
1997-02-27,5.43E-05
1997-03-02,5.03E-05
1997-03-06,4.57E-05
1997-03-09,4.26E-05
1997-03-13,3.89E-05
1997-03-16,3.64E-05
1997-03-20,3.33E-05
1997-03-23,3.12E-05
1997-03-27,2.93E-05
1997-03-30,3.09E-05
1997-04-03,0.000190238
1997-04-06,0.000210798
1997-04-10,0.10714078
1997-04-13,9.930549
1997-04-17,7.0079975
1997-04-20,3.9504395
1997-04-24,1.9231781
1997-04-27,6.0714025
1997-05-01,8.219079
1997-05-04,12.150394
1997-05-08,11.803921
1997-05-11,8.087238
1997-05-15,4.9506364
1997-05-18,3.2229207
1997-05-22,1.5128864
1997-05-25,0.81920284
1997-05-29,0.39439026
1997-06-01,0.22366515
1997-06-05,0.26913103
1997-06-08,0.9138794
1997-06-12,1.347453
1997-06-15,1.2741086
1997-06-19,1.0799814
1997-06-22,0.9347972
1997-06-26,0.79556054
1997-06-29,0.708683
1997-07-03,0.6054907
1997-07-06,0.53123814
1997-07-10,1.5192728
1997-07-13,4.0626507
1997-07-17,2.184896
1997-07-20,1.3771471
1997-07-24,0.82101434
1997-07-27,0.5966365
1997-07-31,0.6829897
1997-08-03,1.1566254
1997-08-07,0.79867476
1997-08-10,0.53986293
1997-08-14,0.3617491
1997-08-17,0.2617535
1997-08-21,0.14754008
1997-08-24,0.07840716
1997-08-28,0.01306969
1997-08-31,0.000698402
1997-09-04,6.92E-05
1997-09-07,3.60E-05
1997-09-11,2.26E-05
1997-09-14,2.03E-05
1997-09-18,1.85E-05
1997-09-21,1.74E-05
1997-09-25,1.66E-05
1997-09-28,1.55E-05
1997-10-02,1.46E-05
1997-10-05,1.36E-05
1997-10-09,3.11E-05
1997-10-12,5.92E-05
1997-10-16,5.76E-05
1997-10-19,8.13E-05
1997-10-23,0.0004361
1997-10-26,0.59847957
1997-10-30,2.3157175
1997-11-02,25.870699
1997-11-06,264.61478
1997-11-09,156.66042
1997-11-13,64.410225
1997-11-16,42.445164
1997-11-20,95.53125
1997-11-23,87.44326
1997-11-27,51.435585
1997-11-30,112.60231
1997-12-04,124.01566
1997-12-07,122.51951
1997-12-11,118.77947
1997-12-14,68.364525
1997-12-18,40.448143
1997-12-21,28.518637
1997-12-25,19.02374
1997-12-28,16.068727
1998-01-02,11.694836
1998-01-05,12.026175
1998-01-09,44.89135
1998-01-12,66.45348
1998-01-16,65.87935
1998-01-19,82.57339
1998-01-23,44.10722
1998-01-26,29.76371
1998-01-30,21.219288
1998-02-02,19.438969
1998-02-06,13.953855
1998-02-09,10.7032795
1998-02-13,7.7814627
1998-02-16,8.375775
1998-02-20,14.603029
1998-02-23,14.152373
1998-02-27,10.231893
1998-03-02,7.4078703
1998-03-06,2.691859
1998-03-09,1.2516938
1998-03-13,0.59795564
1998-03-16,0.34459084
1998-03-20,0.11365279
1998-03-23,0.057904694
1998-03-27,0.6724602
1998-03-30,6.468985
1998-04-03,3.2891848
1998-04-06,0.7854449
1998-04-10,0.22776017
1998-04-13,0.14312385
1998-04-17,0.18408555
1998-04-20,0.20011161
1998-04-24,0.11397653
1998-04-27,0.06357368
1998-05-01,0.03135036
1998-05-04,0.07536469
1998-05-08,1.68324
1998-05-11,4.4371147
1998-05-15,5.73231
1998-05-18,7.8826313
1998-05-22,7.2155566
1998-05-25,3.6426265
1998-05-29,1.77321
1998-06-01,1.0796248
1998-06-05,0.944748
1998-06-08,1.4705449
1998-06-12,1.6960446
1998-06-15,1.6639341
1998-06-19,1.5981797
1998-06-22,1.4193523
