,dis
1997-01-02,3608.9316
1997-01-05,3565.6497
1997-01-09,3507.8342
1997-01-12,3461.1929
1997-01-16,3401.0803
1997-01-19,3368.7458
1997-01-23,3339.6873
1997-01-26,3313.2327
1997-01-30,3322.5654
1997-02-02,3348.4658
1997-02-06,3340.5266
1997-02-09,3311.31
1997-02-13,3252.0276
1997-02-16,3196.9487
1997-02-20,3122.0222
1997-02-23,3068.1003
1997-02-27,3002.4062
1997-03-02,2948.642
1997-03-06,2865.0288
1997-03-09,2805.0789
1997-03-13,2722.5151
1997-03-16,2674.988
1997-03-20,2616.2388
1997-03-23,2569.3691
1997-03-27,2534.2217
1997-03-30,2512.0012
1997-04-03,2467.5205
1997-04-06,2447.6458
1997-04-10,2482.6384
1997-04-13,2563.6978
1997-04-17,2728.7803
1997-04-20,2823.522
1997-04-24,2924.172
1997-04-27,3028.83
1997-05-01,3266.081
1997-05-04,3454.9004
1997-05-08,3629.2312
1997-05-11,3719.7603
1997-05-15,3842.0151
1997-05-18,3918.0264
1997-05-22,4006.741
1997-05-25,4078.5615
1997-05-29,4106.805
1997-06-01,4084.7742
1997-06-05,4031.1174
1997-06-08,3989.2014
1997-06-12,3943.4595
1997-06-15,3924.4
1997-06-19,3908.378
1997-06-22,3878.7146
1997-06-26,3825.362
1997-06-29,3793.417
1997-07-03,3764.8582
1997-07-06,3735.2236
1997-07-10,3685.3872
1997-07-13,3667.6763
1997-07-17,3686.9604
1997-07-20,3678.973
1997-07-24,3694.0417
1997-07-27,3737.1294
1997-07-31,3731.485
1997-08-03,3677.8923
1997-08-07,3574.8372
1997-08-10,3483.9297
1997-08-14,3385.8726
1997-08-17,3321.383
1997-08-21,3249.682
1997-08-24,3207.1887
1997-08-28,3167.9224
1997-08-31,3137.0889
1997-09-04,3093.6665
1997-09-07,3059.8606
1997-09-11,3004.167
1997-09-14,2953.4753
1997-09-18,2871.4084
1997-09-21,2792.8184
1997-09-25,2716.554
1997-09-28,2673.907
1997-10-02,2613.9597
1997-10-05,2574.4146
1997-10-09,2534.9175
1997-10-12,2512.4626
1997-10-16,2489.811
1997-10-19,2499.7698
1997-10-23,2634.5264
1997-10-26,3009.374
1997-10-30,3262.175
1997-11-02,3481.5378
1997-11-06,3780.9343
1997-11-09,3982.581
1997-11-13,4270.476
1997-11-16,4564.861
1997-11-20,4835.101
1997-11-23,5009.879
1997-11-27,5384.0654
1997-11-30,5578.848
1997-12-04,5725.323
1997-12-07,5788.11
1997-12-11,6022.4463
1997-12-14,6212.596
1997-12-18,6527.2197
1997-12-21,6788.88
1997-12-25,7148.418
1997-12-28,7382.2144
1998-01-02,7541.446
1998-01-05,7504.74
1998-01-09,7332.7993
1998-01-12,7253.583
1998-01-16,7408.905
1998-01-19,7643.0923
1998-01-23,7647.9067
1998-01-26,7527.32
1998-01-30,7367.3438
1998-02-02,7225.0103
1998-02-06,7075.0127
1998-02-09,7012.8984
1998-02-13,6847.143
1998-02-16,6707.1494
1998-02-20,6642.0366
1998-02-23,6632.2847
1998-02-27,6560.358
1998-03-02,6490.5146
1998-03-06,6331.4478
1998-03-09,6186.448
1998-03-13,5989.404
1998-03-16,5858.828
1998-03-20,5750.214
1998-03-23,5700.75
1998-03-27,5644.0864
1998-03-30,5592.827
1998-04-03,5527.5103
1998-04-06,5503.381
1998-04-10,5484.1685
1998-04-13,5472.9023
1998-04-17,5473.707
1998-04-20,5543.877
1998-04-24,5789.6094
1998-04-27,5971.6675
1998-05-01,6090.5557
1998-05-04,6148.6377
1998-05-08,6228.1377
1998-05-11,6337.3945
1998-05-15,6551.3584
1998-05-18,6637.049
1998-05-22,6624.6104
1998-05-25,6541.5405
1998-05-29,6392.1924
1998-06-01,6275.7983
1998-06-05,6143.3486
1998-06-08,6059.3135
1998-06-12,5964.8477
1998-06-15,5924.712
1998-06-19,5906.0664
1998-06-22,5873.7417
1998-06-26,5821.3364
1998-06-29,5816.4673
1998-07-03,5764.417
1998-07-06,5689.7427
1998-07-10,5570.986
1998-07-13,5478.128
1998-07-17,5349.332
1998-07-20,5256.5107
1998-07-24,5146.489
1998-07-27,5066.4263
1998-07-31,4976.745
1998-08-03,4911.4097
1998-08-07,4817.8926
1998-08-10,4752.752
1998-08-14,4692.0903
