,dis
1997-01-02,0.2690535
1997-01-05,0.37676635
1997-01-09,0.4801
1997-01-12,0.5499861
1997-01-16,0.5820737
1997-01-19,0.6154163
1997-01-23,0.6125239
1997-01-26,0.61154413
1997-01-30,0.58315164
1997-02-02,0.5000699
1997-02-06,0.25065348
1997-02-09,0.15555128
1997-02-13,0.118122734
1997-02-16,0.11477655
1997-02-20,0.079002775
1997-02-23,0.040894147
1997-02-27,0.011206847
1997-03-02,0.001854529
1997-03-06,2.220185e-05
1997-03-09,1.9870817e-05
1997-03-13,1.6437787e-05
1997-03-16,1.5335236e-05
1997-03-20,1.4315134e-05
1997-03-23,1.2197568e-05
1997-03-27,1.3947393e-05
1997-03-30,3.369766e-05
1997-04-03,0.0016025914
1997-04-06,0.162081
1997-04-10,7.524584
1997-04-13,13.062005
1997-04-17,6.5772386
1997-04-20,2.5719213
1997-04-24,5.9628897
1997-04-27,50.078476
1997-05-01,51.489254
1997-05-04,43.789196
1997-05-08,51.759605
1997-05-11,19.209824
1997-05-15,7.0318265
1997-05-18,6.033969
1997-05-22,1.1565919
1997-05-25,0.12789983
1997-05-29,0.01169305
1997-06-01,0.005535143
1997-06-05,0.0025117998
1997-06-08,0.0014622286
1997-06-12,0.0007809792
1997-06-15,0.0005614331
1997-06-19,0.000569118
1997-06-22,0.0043206788
1997-06-26,0.20954482
1997-06-29,0.085928686
1997-07-03,0.46590537
1997-07-06,5.022765
1997-07-10,18.453957
1997-07-13,13.788577
1997-07-17,4.9693255
1997-07-20,1.4194597
1997-07-24,0.11023177
1997-07-27,2.8643918
1997-07-31,12.701413
1997-08-03,8.010444
1997-08-07,16.109493
1997-08-10,19.5317
1997-08-14,7.300472
1997-08-17,2.4814436
1997-08-21,0.09951158
1997-08-24,0.034179304
1997-08-28,0.011154907
1997-08-31,0.0076535987
1997-09-04,0.005571968
1997-09-07,0.0039048356
1997-09-11,0.002269489
1997-09-14,0.0014417726
1997-09-18,0.0006190309
1997-09-21,0.00029282
1997-09-25,0.00012540385
1997-09-28,9.925468e-05
1997-10-02,8.7959495e-05
1997-10-05,8.561225e-05
1997-10-09,8.157674e-05
1997-10-12,8.189261e-05
1997-10-16,7.74073e-05
1997-10-19,0.000113708746
1997-10-23,3.1099238
1997-10-26,21.278482
1997-10-30,13.869758
1997-11-02,8.618506
1997-11-06,5.107202
1997-11-09,3.246311
1997-11-13,2.33302
1997-11-16,1.8231515
1997-11-20,4.0001335
1997-11-23,5.2465663
1997-11-27,4.1098113
1997-11-30,2.9908767
1997-12-04,2.6979532
1997-12-07,2.4916797
1997-12-11,2.2634144
1997-12-14,2.4030344
1997-12-18,2.2895443
1997-12-21,3.671532
1997-12-25,9.074557
1997-12-28,7.3467526
1998-01-02,5.7845364
1998-01-05,4.367429
1998-01-09,3.4289625
1998-01-12,3.318149
1998-01-16,8.010439
1998-01-19,7.683141
1998-01-23,5.2265263
1998-01-26,3.8163328
1998-01-30,2.6588137
1998-02-02,2.0632563
1998-02-06,1.2611879
1998-02-09,0.9919788
1998-02-13,31.809696
1998-02-16,33.661694
1998-02-20,17.153378
1998-02-23,11.148409
1998-02-27,6.8449683
1998-03-02,3.9411242
1998-03-06,0.8930682
1998-03-09,0.12197295
1998-03-13,0.005509987
1998-03-16,0.0029415567
1998-03-20,0.0017880915
1998-03-23,0.0013869407
1998-03-27,0.0009286555
1998-03-30,0.0007097978
1998-04-03,0.00046538466
1998-04-06,0.0003480518
1998-04-10,0.00028006593
1998-04-13,0.00026603445
1998-04-17,0.00028228713
1998-04-20,0.00031353117
1998-04-24,0.0002341065
1998-04-27,0.00035997477
1998-05-01,0.0021202294
1998-05-04,0.0023680988
1998-05-08,0.09276369
1998-05-11,6.748209
1998-05-15,31.536922
1998-05-18,22.993408
1998-05-22,10.681497
1998-05-25,7.6520276
1998-05-29,5.631012
1998-06-01,2.4753208
1998-06-05,0.71364415
1998-06-08,1.4708674
1998-06-12,13.365753
1998-06-15,12.96073
1998-06-19,5.9229827
1998-06-22,2.7899413
1998-06-26,1.9860123
1998-06-29,7.110618
1998-07-03,18.055162
1998-07-06,23.960405
1998-07-10,17.271706
1998-07-13,11.107571
1998-07-17,10.079643
1998-07-20,29.512056
1998-07-24,31.211191
1998-07-27,32.005547
1998-07-31,21.761215
1998-08-03,15.644333
1998-08-07,9.913269
1998-08-10,6.806439
1998-08-14,5.758933
1998-08-17,9.939662
1998-08-21,21.059595
1998-08-24,14.931586
1998-08-28,24.476194
1998-08-31,32.591293
1998-09-04,18.37882
1998-09-07,11.392519
1998-09-11,7.090402
1998-09-14,5.371952
1998-09-18,3.806822
1998-09-21,3.330299
1998-09-25,1.9196308
1998-09-28,1.5901457
1998-10-02,1.2662376
1998-10-05,18.331385
1998-10-09,15.588734
1998-10-12,10.156416
1998-10-16,6.7079597
1998-10-19,4.3381305
1998-10-23,1.9218905
1998-10-26,1.0575399
1998-10-30,0.44460598
1998-11-02,0.2864735
1998-11-06,0.15841867
1998-11-09,0.083398156
1998-11-13,0.05534323
1998-11-16,0.031640377
1998-11-20,0.019954678
1998-11-23,0.011032264
1998-11-27,0.0059593585
1998-11-30,0.003848083
1998-12-04,0.037033997
1998-12-07,0.12833902
1998-12-11,0.24067707
1998-12-14,0.3010937
1998-12-18,0.44491857
1998-12-21,0.46887636
1998-12-25,0.40273127
1998-12-28,0.36737674
1999-01-02,0.36393347
1999-01-05,0.5060677
1999-01-09,0.6434623
1999-01-12,0.6952796
1999-01-16,0.7474448
1999-01-19,0.77111125
1999-01-23,0.7490033
1999-01-26,0.68957305
1999-01-30,0.6245055
1999-02-02,0.50618756
1999-02-06,0.2536556
1999-02-09,0.13738604
1999-02-13,0.10317049
1999-02-16,0.055989202
1999-02-20,0.012522544
1999-02-23,0.012247037
1999-02-27,0.011649333
1999-03-02,0.0053979186
1999-03-06,3.8801543e-05
1999-03-09,4.0504947e-05
1999-03-13,0.000118406315
1999-03-16,0.059631526
1999-03-20,1.6797245
1999-03-23,1.4483595
1999-03-27,0.38875952
1999-03-30,0.07024975
1999-04-03,0.014425679
1999-04-06,0.0106452
1999-04-10,0.0021512788
1999-04-13,0.0008195792
1999-04-17,0.00029236166
1999-04-20,0.00022003871
1999-04-24,0.00014922899
1999-04-27,0.00016946976
1999-05-01,1.353771
1999-05-04,6.52875
1999-05-08,2.6027946
1999-05-11,0.77209026
1999-05-15,0.098582335
1999-05-18,0.016824486
1999-05-22,0.030357722
1999-05-25,0.00594023
1999-05-29,0.0023140102
1999-06-01,0.00867514
1999-06-05,0.10580519
1999-06-08,0.13122228
1999-06-12,5.307654
1999-06-15,4.077585
1999-06-19,0.6765945
1999-06-22,0.08293202
1999-06-26,0.31609154
1999-06-29,0.6490245
1999-07-03,0.3338694
1999-07-06,0.08382712
1999-07-10,0.00966364
1999-07-13,0.061114475
1999-07-17,2.3091776
1999-07-20,7.603509
1999-07-24,7.5333805
1999-07-27,9.845159
1999-07-31,4.59756
1999-08-03,1.4127799
1999-08-07,0.04690685
1999-08-10,0.13930762
1999-08-14,1.2160463
1999-08-17,9.628612
1999-08-21,8.28015
1999-08-24,3.1316903
1999-08-28,0.13055661
1999-08-31,0.29659963
1999-09-04,30.173307
1999-09-07,21.794504
1999-09-11,8.493131
1999-09-14,4.7498713
1999-09-18,2.252281
1999-09-21,1.2943443
1999-09-25,0.6240815
1999-09-28,0.21392027
1999-10-02,0.14996257
1999-10-05,0.21175249
1999-10-09,4.149369
1999-10-12,23.18152
1999-10-16,19.688753
1999-10-19,14.973813
1999-10-23,7.0572653
1999-10-26,3.825698
1999-10-30,1.7143883
1999-11-02,1.3154128
1999-11-06,0.82614666
1999-11-09,0.39014044
1999-11-13,0.04124011
1999-11-16,0.029956741
1999-11-20,0.008741198
1999-11-23,0.002328086
1999-11-27,0.0033061837
1999-11-30,0.0041070846
1999-12-04,0.051299464
1999-12-07,0.16102569
1999-12-11,0.4051799
1999-12-14,0.50064164
1999-12-18,0.53002954
1999-12-21,0.49483684
1999-12-25,0.42200652
1999-12-28,0.40465504
2000-01-02,0.44286072
