,Station,location,Lat,Lon,Q90,Q95,Q98
0,F0030,R.ManafaatButaleja,0.936944,34.15778,nan,nan,nan
1,F0031,R.Sio,0.24,34.0,467.0527038574219,573.0340576171875,712.122802734375
2,F0032,R.MpologomaatBudumba,0.826944,33.79028,241.83848571777344,291.4800720214844,355.89516601562474
3,F0033,R.KyogaNileatMasindiport,1.69473,32.0927,3903.357666015625,4296.03857421875,4981.817773437497
4,F0034,R.Kapiri,1.667,33.73709,229.54534912109375,291.37158203125,364.6044006347656
5,F0035,R.RwiziatMbararawaterworks,-0.61667,30.65,26.981246948242188,39.602333068847656,56.146585845947264
6,F0036,R.Muzizi,0.08463,30.73004,24.830541610717773,41.58816909790039,66.8061721801757
7,F0037,R.Aswa-ii,2.95,32.58333,68.04237365722656,99.96697235107422,147.49189453124995
8,F0038,R.Mitano,-0.68333,29.8,62.19199752807617,77.9054946899414,98.47930755615229
9,F0039,R.Mayanja,0.67583,32.16967,47.91442108154297,67.5884780883789,91.86857910156237
10,F0040,R.Semliki,0.95,30.18333,1357.630615234375,1562.2105712890625,1936.6346435546875
11,F0041,R.Nkusi,1.13006,30.98565,21.58954620361328,28.928714752197266,38.050468444824176
12,F0042,R.PageratKitgum,3.25,33.88333,31.918392181396484,48.44871520996094,72.60888519287099
13,G5196,UgandaGauge,1.8,33.9,17.869760513305664,39.297950744628906,71.41710968017571
14,G5200,Magoro-Ngariam,1.6,34.1,192.61985778808594,243.0385284423828,306.73293457031195
15,G6106,Kapelebyong,2.2,33.9,18.14910888671875,31.032190322875977,49.89340057373045
